song_name,year,movie,music_composer,singers,lyricist,production_house,music_label,key,tempo,time_signature,genre,description,youtube_link
Shayad,2020,Love Aaj Kal,Pritam,Arijit Singh,Irshad Kamil,"Maddock Films, Window Seat Films",Sony Music India,Cm,72,4/4,Tender Romantic Ballad,"""Shayad,"" the lead single of Love Aaj Kal, was conceived by Pritam as ""an ode to young love,"" aiming to recapture the timeless quality of the 2009 original's soundtrack. Arijit Singh's gentle, slightly wistful delivery carries an estimated C minor melody at a slow ~72 BPM in 4/4, with the arrangement built around understated piano and warm strings that bloom gradually rather than dramatically. Irshad Kamil's lyrics capture the tentative, uncertain hope of new romance — the ""perhaps"" of the title. The mood is soft, nostalgic, and tender, deliberately evoking the innocence of first love, and the song's popularity led to multiple reprise versions across the rest of the soundtrack.",https://youtu.be/MJyKN-8UncM?si=vqG9etEN2TSFH6fP
Haan Main Galat,2020,Love Aaj Kal,Pritam,Arijit Singh; Shashwat Singh,Irshad Kamil,"Maddock Films, Window Seat Films",Sony Music India,Em,118,4/4,Upbeat Dance-Pop,"""Haan Main Galat"" injects youthful, rebellious energy into the soundtrack, with Pritam describing it as deliberately ""light and exciting"" to reflect a generation refusing to be reshaped by social expectations. Arijit Singh and Shashwat Singh's energetic vocal interplay rides an estimated E minor groove at a brisk ~118 BPM in 4/4, sampling elements from the original 2009 film's ""Twist"" (itself sampled from the classic Nagin theme), giving the track a playful retro-modern hybrid texture. Irshad Kamil's lyrics embrace being unapologetically ""wrong"" by conventional standards. The mood is defiant and danceable, offering a sharp tonal contrast to the album's softer ballads.",https://youtu.be/yRB0xbKDebo?si=_ouFftD3CJ_qEs-f
Mehrama,2020,Love Aaj Kal,Pritam,Darshan Raval; Antara Mitra,Irshad Kamil,"Maddock Films, Window Seat Films",Sony Music India,Dm,68,4/4,Heartbreak Ballad,"""Mehrama"" is the soundtrack's emotional gut-punch, an aching breakup duet that earned both Darshan Raval and Antara Mitra Filmfare nominations for their performances. Estimated in D minor at a slow, mournful ~68 BPM in 4/4, Pritam's arrangement leans into sparse piano and weeping strings, letting the two vocalists' contrasting textures — Raval's youthful ache against Mitra's more seasoned sorrow — carry the weight of separation. Irshad Kamil's lyrics, also Filmfare-nominated, plead for mercy from heartbreak itself. The mood is devastating and intimate, widely cited by critics as one of the standout tracks of the entire soundtrack.",https://youtu.be/HYUpNJJELeE?si=HQO4k2eZ9ONJTTj7
Aur Tanha,2020,Love Aaj Kal,Pritam,KK,Irshad Kamil,"Maddock Films, Window Seat Films",Sony Music India,Bm,94,4/4,Atmospheric Rock Ballad,"""Aur Tanha"" reunites Pritam with KK — who'd sung ""Main Kya Hoon"" in the 2009 original — for an atmospheric, rock-flavored number that critics singled out as evoking memories of Life in a... Metro. Estimated in B minor at a moderate ~94 BPM in 4/4, the arrangement features prominent electric guitar, gospel-choir-style backing vocals, and a slow-burning, almost cinematic build. Irshad Kamil's lyrics dwell on growing more alone the more someone is present but unreachable. The mood is pensive and quietly intense, with KK's ageless, textured voice — described by reviewers as never sounding dated — anchoring one of the album's most acclaimed tracks.",https://youtu.be/4-Dn0LmOfP0?si=Dg2HorqxXr0SWyzY
Parmeshwara,2020,Love Aaj Kal,Pritam,Raftaar,Irshad Kamil,"Maddock Films, Window Seat Films",Sony Music India,Am,140,4/4,Hip-Hop / Rap,"""Parmeshwara"" closes out Love Aaj Kal's more experimental side, led entirely by rapper Raftaar in a sharp departure from the album's melodic balladry. Estimated in A minor at an aggressive ~140 BPM in 4/4, Pritam builds a beat-driven, bass-heavy production with minimal melodic ornamentation, letting Raftaar's rapid-fire flow carry the track's satirical, confrontational energy. Irshad Kamil's lyrics critique social hypocrisy and performative relationships with biting sarcasm. The mood is brash and cynical, intentionally jarring against the soundtrack's romantic core — Pritam and Imtiaz Ali's way of representing the more cutting, disillusioned side of modern dating culture.",https://youtu.be/ssgE9j9ZAG0?si=EEd2byY4IR7O0t9m
Dhak Dhak,2020,Love Aaj Kal,Pritam,Nikhita Gandhi; Akasa Singh,Irshad Kamil,"Maddock Films, Window Seat Films",Sony Music India,F,108,4/4,Festive Folk-Pop,"""Dhak Dhak"" brings an outlandish, chorus-driven energy to the soundtrack, with Nikhita Gandhi and Akasa Singh's spirited vocals riding a folk-flavored arrangement that reviewers compared to the carnival energy of Jagga Jasoos's ""Mombaka."" Estimated in F major at a lively ~108 BPM in 4/4, Pritam layers percussive folk rhythms with a big, communal chorus structure, giving the track a celebratory, almost theatrical quality distinct from the rest of the soundscape. Irshad Kamil's lyrics capture a fluttering, excited heartbeat (""dhak dhak"") in the throes of attraction. The mood is bright and exuberant, offering a deliberately quirky, crowd-pleasing counterpoint to the album's more introspective tracks.",https://youtu.be/70ohKdHyvJY?si=cQa9v3BvB4_F_o5l
Yeh Dooriyan,2020,Love Aaj Kal,Pritam,Mohit Chauhan,Irshad Kamil,"Maddock Films, Window Seat Films",Sony Music India,Am,76,4/4,Melancholic Ballad,"""Yeh Dooriyan"" reprises the title and emotional spirit of Mohit Chauhan's beloved song from the original 2009 Love Aaj Kal, with a newly composed melody for the sequel. Estimated in A minor at a measured ~76 BPM in 4/4, Pritam's arrangement keeps Chauhan's signature warm, slightly raspy vocal tone front and center over restrained acoustic and string textures. Irshad Kamil's lyrics meditate on the strange paradox of distance bringing two people closer emotionally even as they stay physically apart. The mood is reflective and gently sorrowful, functioning as a nostalgic callback for fans of the original while standing as its own distinct composition within the new soundtrack.",https://youtu.be/WkkLuQQ_IgY?si=e_pFO23XauaAgnHC
Shayad (Reprise),2020,Love Aaj Kal,Pritam,Jubin Nautiyal,Irshad Kamil,"Maddock Films, Window Seat Films",Sony Music India,Cm,74,4/4,Tender Romantic Ballad (Reprise),"The reprise of ""Shayad,"" used as the post-interval film variant per the movie's own credits, hands the soundtrack's central love theme to Jubin Nautiyal's smoother, more melodically embellished voice. The underlying composition retains its estimated C minor key and gentle ~74 BPM tempo in 4/4, with Pritam's piano-and-strings arrangement carried over from the Arijit Singh original. Irshad Kamil's lyrics about tentative, hopeful new love remain the emotional anchor. Nautiyal's interpretation brings a slightly more polished, radio-ready quality compared to Singh's rawer original take, offering a contrasting register for the same melody as the film's narrative moves into its second half.",https://youtu.be/DFDhoMY8F3k?si=hLaOE6t0rmegr-ud
Aabaad Barbaad,2020,Ludo,Pritam,Arijit Singh,Sandeep Shrivastava,"T-Series Films, Anurag Basu Productions",T-Series,Dm,80,4/4,Intense Romantic Ballad,"""Aabaad Barbaad,"" Ludo's lead single and the soundtrack's biggest hit (ranked India Today's #1 Bollywood song of 2020), captures Arijit Singh at his most emotionally unrestrained. Estimated in D minor at ~80 BPM in 4/4, Pritam's arrangement builds from a hushed, intimate opening into a soaring, anthemic chorus, mirroring the lyric's central tension between being ""ruined"" or ""made whole"" by love. Sandeep Shrivastava's lyrics capture devotion so total it becomes almost self-destructive. The mood is raw and consuming, picturized on Aditya Roy Kapur and Sanya Malhotra's segment of the film's multi-narrative structure — widely considered a defining Pritam-Arijit collaboration of the era.",https://youtu.be/jh66Pjtqr4k?si=b81no5tV4oiPzmBZ
Hardum Humdum,2020,Ludo,Pritam,Arijit Singh,Sayeed Quadri,"T-Series Films, Anurag Basu Productions",T-Series,F,86,4/4,Warm Romantic Montage Theme,"""Hardum Humdum"" has an unusual backstory — Pritam originally composed the tune for a planned Life in a... Metro sequel that never materialized, before Anurag Basu repurposed it for Ludo years later (the actual Metro sequel, Metro... In Dino, eventually arrived in 2025). Estimated in F major at a warm ~86 BPM in 4/4, Arijit Singh's tender vocal carries Sayeed Quadri's vow of eternal companionship over a gentle, montage-style arrangement that binds together three of the film's narrative threads. The mood is comforting and devotional, functioning less as a standalone romantic number and more as a connective emotional thread woven through Ludo's interlocking storylines.",https://youtu.be/gwkSOCNs5cw?si=3d4KkSoNdw6bcSAs
